***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: DECOMP     - Versao 30.1 - Jan/2020(L)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     


____________________________________________________________________

 PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPERADO        
____________________________________________________________________

--------------------------------------
Resultado de operacao dos subsistemas.                                          
--------------------------------------
---------------------------------------------------
IPER;      Indice do periodo                                                                                                                                                                            
ICEN;      Indice do cenario                                                                                                                                                                            
IPAT;      Patamar de Carga                                                                                                                                                                             
Dur;       Duracao                                                                                                                                                                                      
SIST;      Numero do subsistema                                                                                                                                                                         
Nome Sist; Nome do subsistema                                                                                                                                                                           
Demanda;   Demanda                                                                                                                                                                                      
GerPeq;    Geracao das pequenas usinas                                                                                                                                                                  
Gter;      Geracao Termoeletrica                                                                                                                                                                        
GterAT;    Geracao termica antecipada                                                                                                                                                                   
Ghid;      Geração hidroeletrica                                                                                                                                                                        
Cbomb;     Energia Consumida para bombeamento                                                                                                                                                           
Compra;    Energia importada                                                                                                                                                                            
Venda;     Energia exportada                                                                                                                                                                            
IntercLiq; Saldo da energia de intercambio                                                                                                                                                              
Itaipu50;  Geracao 50Hz de Itaipu                                                                                                                                                                       
Itaipu60;  Geracao 60Hz de Itaipu                                                                                                                                                                       
Deficit;   Deficit no Subsistema                                                                                                                                                                        
ENA;       Energia Afluente                                                                                                                                                                             
EarmInic;  Energia Armazenada Inicial                                                                                                                                                                   
EarmInic%; Energia Armazenada Inicial em percentual                                                                                                                                                     
EarmFim;   Energia Armazenada Final                                                                                                                                                                     
EarmFim%;  Energia Armazenada Final em percentual                                                                                                                                                       
CMO;       Custo Marginal de Operacao                                                                                                                                                                   
---------------------------------------------------

@Tabela
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;   1 ;  40.00 ;  1 ; SE            ;    50782.4 ;   3952.0 ;  3622.60 ;   554.00 ; 40757.11 ;     3.03 ;     0.00 ;     0.00 ;    4012.72 ;  4000.00 ;  6300.00 ;     0.00 ;  17031.3 ;      82392.49 ;    40.32 ;      88537.49 ;    43.33 ;  106.06 ;
   1 ;    1 ;   2 ;  46.00 ;  1 ; SE            ;    47719.2 ;   3952.0 ;  3622.60 ;   554.00 ; 37453.07 ;   115.60 ;     0.00 ;     0.00 ;    4318.13 ;  1900.00 ;  6298.73 ;     0.00 ;  17031.3 ;      82392.49 ;    40.32 ;      88537.49 ;    43.33 ;  104.46 ;
   1 ;    1 ;   3 ;  82.00 ;  1 ; SE            ;    38811.8 ;   3952.0 ;  3622.60 ;   554.00 ; 28885.14 ;   115.60 ;     0.00 ;     0.00 ;    3549.66 ;  1900.00 ;  4080.74 ;     0.00 ;  17031.3 ;      82392.49 ;    40.32 ;      88537.49 ;    43.33 ;   98.87 ;
   1 ;    1 ;  -  ;   -    ;  1 ; SE            ;    44100.9 ;   3952.0 ;  3622.60 ;   554.00 ; 34057.78 ;    88.80 ;     0.00 ;     0.00 ;    3870.33 ;  2400.00 ;  5216.44 ;     0.00 ;  17031.3 ;      82392.49 ;    40.32 ;      88537.49 ;    43.33 ;  102.11 ;
   1 ;    1 ;   1 ;  40.00 ;  2 ; S             ;    17763.2 ;   1773.0 ;   576.60 ;     0.00 ;  4913.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    596.8 ;       4938.25 ;    24.82 ;       4983.35 ;    25.05 ;  106.32 ;
   1 ;    1 ;   2 ;  46.00 ;  2 ; S             ;    15749.9 ;   1773.0 ;   642.50 ;     0.00 ;  3086.79 ;     0.00 ;     0.00 ;     0.00 ;   10247.61 ;    -     ;    -     ;     0.00 ;    596.8 ;       4938.25 ;    24.82 ;       4983.35 ;    25.05 ;  104.46 ;
   1 ;    1 ;   3 ;  82.00 ;  2 ; S             ;    12242.5 ;   1773.0 ;   665.00 ;     0.00 ;  1646.43 ;     0.00 ;     0.00 ;     0.00 ;    8158.07 ;    -     ;    -     ;     0.00 ;    596.8 ;       4938.25 ;    24.82 ;       4983.35 ;    25.05 ;   98.87 ;
